categories (L),Venue
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Food With A View"" }]",Madison 
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Vibes"" },  { ""S"" : ""Sundowners"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Chill"" },  { ""S"" : ""Food With A View"" }]",Coq d'Argent
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""Romantic"" },  { ""S"" : ""Seal The Deal"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""Chill"" },  { ""S"" : ""Afternoon Tea"" },  { ""S"" : ""Girls Night"" }]",Hush Mayfair
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Experiences"" },  { ""S"" : ""Romantic"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Seal The Deal"" },  { ""S"" : ""First Date"" },  { ""S"" : ""Food With A View"" }]",Sky Garden
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Date Night"" },  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Experiences"" },  { ""S"" : ""Romantic"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Seal The Deal"" },  { ""S"" : ""First Date"" },  { ""S"" : ""Food With A View"" }]",Sky Garden
"[  { ""S"" : ""Date Night"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Food With A View"" },  { ""S"" : ""Cheap Eats"" },  { ""S"" : ""Catch Up With Friends"" },  { ""S"" : ""Burger Lovers"" },  { ""S"" : ""Boys Night"" },  { ""S"" : ""Hangover Cure"" },  { ""S"" : ""First Date"" },  { ""S"" : ""Outdoor Seating"" }]",Waterfront
"[  { ""S"" : ""Drinks"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Cocktail"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Client Meeting"" }]",Ham Yard Roof Terrace
"[  { ""S"" : ""Date Night"" },  { ""S"" : ""Restaurants"" },  { ""S"" : ""Something Different"" },  { ""S"" : ""Places to Propose"" },  { ""S"" : ""Seal The Deal"" }]",Kitchen at Holmes
"[  { ""S"" : ""Vibes"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Outdoor Seating"" },  { ""S"" : ""Catch Up With Friends"" },  { ""S"" : ""Brunch"" }]",The Princess Of Wales
"[  { ""S"" : ""Restaurants"" },  { ""S"" : ""Drinks"" },  { ""S"" : ""After Work Drinks"" },  { ""S"" : ""Rooftop"" },  { ""S"" : ""Brunch"" },  { ""S"" : ""Food With A View"" }]",Bar Elba
